"x","y"
29.9,36.2
29.9,36.5
25,37.9
25,38
32.9,41.5
29.7,43.9
29.5,43.9
24.4,41.5
23.9,40.6
24.1,39.7
23.8,40.6
22.5,44.7
25.3,47.2
22.2,45.6
24.9,51.6
23.5,53.7
22.1,54.2
21.9,54.2
21.6,50.9
28.4,55.8
33.7,55.5
34.5,56.7
34,59
33.2,59.7
34.6,60.2
38.7,63.4
42.2,63
41.4,67.5
38.5,68.1
42,68.4
40.6,73.8
42.5,74.1
44.5,78.1
46.7,76.5
48.1,75
51.5,77.6
54.7,71.4
58.7,71.9
59.4,76.7
59.6,77
66,79.3
66.5,82.3
67.1,82.3
76.5,80.8
76.6,79.7
80.3,78.3
80.7,78
84.3,77.5
85.1,76.6
88.8,77.5
89.5,82.6
89.4,82.7
93.2,80.1
94.1,82.4
96.2,75.9
96.6,76
98.4,78.5
105.4,76.7
107,79.5
107.2,79.4
108.8,78
115.7,79.2
113.5,74.1
117.8,71.6
118.1,71.1
122.9,68.1
122.3,66.2
127.7,60.7
130,62.5
128.9,58.6
130,57.5
130.7,54.5
116.2,69.8
110.9,72.9
110.3,71.9
107.2,72.8
102.8,74.5
103.6,73.5
97.8,75.1
98.3,74.3
94.5,74.6
94.5,74.5
85.2,74.5
88.9,74.7
80.1,75.5
81,74.2
78.2,73.8
75.3,78.1
74.3,76.2
76.1,73.4
68.5,75
68.1,73.5
69.6,72
65.2,70.5
61.7,69
51.6,68.7
51.6,67.8
53.8,65.7
56.5,66.1
54.3,64.5
49.6,65.4
51.8,62.5
47.3,63.7
46.8,62.9
48.8,59.3
48.8,59.2
42.4,62.7
40.6,57
40.9,56.6
44.9,53.4
47.4,57.1
45.3,52.3
37.3,48.4
38.7,46.2
40.5,47.3
45,50.8
45.2,44.3
44.6,48
38.3,44.9
46.6,39
47,39.6
46.6,38.7
47.9,37.9
46.3,38.4
45.3,36.6
50.7,27
52.8,27.2
53.7,29
52.7,32.7
55.8,30.4
53.1,26.8
58.7,24.9
61.1,27.3
61.9,22.7
64.6,22.7
63.8,26
65.4,22.4
66.9,24.9
89.6,18.9
95.3,19.3
93.1,21.5
96.4,21.6
131.3,46.1
131.4,47.4
131.4,49
41.4,33.9
39.1,33.4
38.6,32.6
37,31.6
36.5,39.2
35,41.7
33.8,52.5
30.6,49.7
44.9,69.2
47.4,71.7
47.2,72.6
