"x","y"
71.8,14.1
71.4,15.8
71.3,15.9
69.7,16.1
72.2,19.4
71.8,19.6
69.7,18.5
70.9,20.3
69.7,20.7
71.4,21.8
70.8,22.6
69.7,23
72.8,23.4
72.6,23.7
69.7,24.1
72.6,24.5
69.7,25
72.6,24.6
72.3,25.5
69.7,26.2
72.6,26
71.9,28.6
69.7,28.7
72.9,28.8
73.1,29.2
73.2,29.8
72.5,32
72.2,31.9
69.7,29.5
69.7,32.5
72.9,32.7
70.4,33.2
69.7,33.2
73.1,34.4
73.2,35.3
73.1,35.4
72.6,35.3
69.7,34.1
70.3,36
69.7,35.6
70.3,36.7
69.7,37.4
72.1,36.9
71.1,39
70.6,39.3
69.7,39.4
72.7,41.6
71.2,42.8
69.7,41.7
71.3,43.7
69.8,45.1
69.7,45.1
71.4,46.4
72,48.1
69.7,47.5
72.3,48.5
72.3,48.6
71.9,48.9
69.7,49
71.5,49.6
69.7,51
71.9,52.6
69.7,53
72.8,52.6
73.3,55.4
73.2,55.6
69.7,53.9
71,56.4
69.7,55.2
70.7,58.1
69.7,58.7
71.5,58.2
73.1,59
69.7,59.4
73.9,56.8
75.9,57.4
76.1,57.6
76.6,58.9
78.9,58
80,58.5
80.2,60
81.3,60.9
80.4,62
79.5,62.7
81.1,63.1
81.2,63.2
81.9,63.4
83.1,61.4
83.8,61.5
84.9,62.4
85.1,62.7
85.3,63.3
88.2,63.2
87.2,61.9
87.5,61.7
87.4,60.3
89.4,61
89.5,61.1
90.6,61
91.5,61.1
92,60.8
92.5,61
93.9,62.9
95.1,62.2
95.4,61.9
95.6,61.8
95.9,60.2
96.6,59.6
96.7,59.6
98.9,60.2
99.5,59.8
100.6,61.2
102.5,60.6
102.6,60.7
102.3,62.1
101.9,62.6
103.8,63.2
104.1,62.6
104,61.8
104.3,61.2
106.3,61.6
105.8,59.6
107.2,59.7
107.7,59.2
108.4,59.5
110,58.7
110.3,58.8
112.1,59
112.4,58.9
113.8,61.7
112.7,58.4
115,58.3
115.1,58.3
118.7,60.3
118.7,60.2
121,58.7
121.1,57.3
122.5,56.2
122.5,55.8
122.8,54.2
124.6,55.1
125.6,53.3
123.3,53.1
123.9,52
124.3,51.5
124,50.8
124.2,50.7
125.1,48.9
124.4,48.8
123.1,46.6
123.4,46.2
123.8,46.1
125.4,47.1
126.4,46.5
124.8,45.2
123.3,45.8
123.5,43.5
123,43.4
123.1,41.5
122.1,43.4
121.5,43.5
121.7,40.6
119,42.4
119,42.3
119.3,40.5
117.5,40.4
116.5,39.6
117.2,38.4
116.8,38
116,36.9
115.9,34.8
114.4,35.4
112.7,33.7
113.2,33.2
110.9,35.1
109.8,34
109.7,34
107.4,32.5
107.3,31.6
105.9,31.1
105.8,30.2
106.9,28.3
107.3,28.2
108.8,28.7
108.9,24.5
110.9,24.3
113.1,27.4
113.1,24.4
113.6,24.4
113.9,23
115.4,22.1
115.4,22
115.5,22
116.9,22.8
117.8,20.1
118,20
118.5,20.5
121.2,18.8
120.2,18
120.6,15.7
121.3,15.5
122.2,16.1
121.7,14.2
123.8,13.8
122.8,12.3
123.1,11.9
123.7,12.2
124.5,11
124.5,10.5
124.8,10.2
124.6,7.4
126.3,7
126.8,7.4
127.8,6.2
129,3.9
127.5,4.4
127,3.7
127.7,2.7
125.4,3.4
125,4.2
123.7,4.2
123.4,4.6
121.5,4.6
121.7,5.3
121.1,6.4
120.9,6.6
119.1,4.3
118,4.8
117.7,4.7
116.5,6.4
114.5,4.9
113.9,5.9
113.4,6.4
112.4,6.6
112,6.8
111.8,6.8
110.3,5.5
113.1,9.5
112.6,10.4
110.1,9.5
110,10.3
108.4,11.6
108.5,12.7
108.6,13.1
107.8,14.4
109.9,15.9
109.4,17.2
109.3,17.6
108.2,17.3
107.3,16.7
105.9,17.2
105.7,17
106.1,18.4
105.9,19.4
105.1,19.4
104.3,18.8
104.2,20.3
104.2,21.7
103.4,22.2
103.4,23.6
101.6,24
103.2,26.3
102.7,26.8
100.4,25.5
100.3,25.5
98,27.7
99.4,28.1
99.9,29
97.9,30.3
98.1,31.3
95.2,31.5
93.7,30
95.8,28.5
93,29.9
92.6,30.5
91.6,30.5
89.9,30.2
90.7,28.7
89.8,29.3
87.5,28.8
87.7,28
87.9,27.6
85.9,26.2
86.3,25
85.9,24.8
85.7,24.4
86.5,23.4
86.2,23
86.4,22.6
86,22.1
86.9,20.7
84.4,22.1
83.7,22.2
83.3,21.6
84.9,19.6
84.6,18.9
84.6,17.4
84.8,17.4
84.9,17.4
87.5,18.4
87.2,16.7
87.2,16.5
86.5,16.1
85.8,15.6
85.8,14.8
85.1,13.6
84.7,13.3
85.9,12.3
85.9,12.2
86.1,11.9
86.3,11.3
86.7,11.2
87.5,10
86.7,9.5
87.4,8
87.3,7.9
86.7,7.4
86.3,6.1
85.4,5.3
85.4,5.1
86.7,3.9
86.8,3.7
86.6,3.5
86.1,1.9
85.6,2.5
85.2,5
85,5
83.7,4.4
83.3,4.2
82.4,2.6
80.8,5.1
79.7,5.5
79.6,5.5
81.4,2.5
79.3,5.6
79,5.1
77.5,4.9
76.4,4.2
75.4,5
74.7,3.7
73.8,4.8
73.5,4.8
73.3,5.1
73.4,6.1
73.5,6.3
73.1,7.4
76,8
76.2,8.3
73,10.1
74.7,10.8
74.5,12.7
73.7,13
72.9,12.7
74.8,14.8
74.9,15.2
74.4,16.1
74.6,16.6
73.9,19.2
73.2,19.6
73.1,19.6
73.6,22.6
73.5,22.7
74.1,22.7
74.7,24.7
74.3,25.5
74.3,26
74,26.5
73.9,27.8
74.6,27.8
75.4,29.5
75.1,29.7
75.5,30.9
74.1,30.8
73.9,32.4
73.1,32.9
74.6,32.3
75.3,32.8
75.1,35.2
74.8,35.5
75.9,36.7
75.7,37.4
73.6,38
72.8,36.1
73.7,39.3
74.3,39.8
73.4,41.1
72.9,41.5
73.4,42.5
73,43.8
72.7,44
72.1,44.1
72.3,45.2
73.9,45.9
73.8,47.7
73.3,48.2
72.8,48.4
74.5,51.1
74,52.2
72.9,52.5
75.3,53.1
75.6,55
73.2,55.7
76.1,54.6
77.4,55.2
77.3,56
77.8,56.3
79.2,56.2
79.5,55.7
80.3,55.9
81.1,56.5
81.2,57.1
81,57.7
81.7,58.2
82.4,61
82.8,61.1
83.1,58.4
83.5,58.1
84.4,60.4
85,59.4
87,59.1
87.1,60
87,59
88.4,57.8
88.9,57.8
89.3,58.3
90.6,58.7
91.8,58.6
92.2,59.6
94.2,59.3
93.9,60.7
94.3,59.2
94.4,58.5
95.3,57.8
95.6,57.6
96.6,56.2
97.5,56
98,56.7
98.5,57.2
99.6,59.5
99.7,59.5
102.5,59.9
102.9,59.4
104,60
104.3,61
105.7,59.4
105.5,58.9
105.5,58.8
107.2,58.3
107.6,57.4
109.4,57.7
109.4,57.6
111.4,55.5
112.3,55.9
112.5,56.7
115.2,56.2
115.4,55.6
116.9,55.6
117.4,55.7
117.9,56.9
118,57
120.1,56.6
120.4,56.7
121.2,55.4
120.8,53.4
121.7,53.2
122.5,53.6
122.2,51.1
122.3,50.5
122.9,50.3
123.5,49.2
122.7,48.3
122.6,46.8
122.2,46.8
120.6,45.8
120.5,43.9
121.3,43.7
119.7,43.6
119,42.5
117.2,42.9
116.2,42.5
115.6,41.1
115.7,40.4
114.4,39.6
114.4,38.2
114.1,37.7
113.9,37.2
113.4,37.1
113,36.3
110.9,35.2
110.3,36.7
110.1,36.9
108.1,37.2
108,34.7
106.4,35
106.1,34.9
106,34.4
106.3,33.2
105.2,32
103.1,32.2
103,32
104,30.3
104,30
104.6,28.8
106.5,28.2
104.8,26.6
104.4,25.9
104.9,24.5
107,26.5
107.3,27.3
108.5,24.4
107.4,23.8
107.5,22.9
108,21.9
111.2,23.4
111.2,23.9
111.2,23.3
112.1,22.2
113.4,21.8
114.4,20.9
114.3,20.3
114.3,20.2
114.4,18.8
118,19.9
118.1,18.7
117.9,18.6
117.9,16.1
117.9,15.8
118.9,15.2
118.7,13.4
121.4,13.8
121.7,14.1
122.3,12.4
121,11.1
121.4,10.7
123.1,10.9
123.8,10.3
122.9,8.4
124,7.5
123.2,6.2
123.1,5.3
126.2,6.3
121.9,8.5
121.6,8.3
120.9,6.8
118.5,7.4
118,8.6
116.4,6.6
116.2,6.6
115.4,8
114.9,7.9
114.2,9.4
115,10.3
113,10.9
113.7,12.4
113.6,12.5
112,12.5
111.5,11.7
110.5,11.6
110.4,11.8
110.3,13.7
110.9,14.2
111.2,14.9
112,15.2
113.2,17
113.2,17.4
113,17.6
109.6,17.7
108.3,20.2
108.2,20.2
106.3,19.8
105.8,21.4
104.5,21.8
105.4,23.2
105.5,24.1
103.7,28.3
102.9,28.3
102.4,27.8
101.8,28
100.6,27.4
100.8,29.8
101.1,31.4
99.9,32.1
99.4,32.1
98.8,31.9
98.3,32.4
96.8,33.3
96.7,33.3
95.9,33.3
95.2,33.2
94.6,34
94.1,34
92.2,31.9
91.5,32.6
90.5,32.5
89.4,31.9
89.5,31.4
89.2,30.5
89.6,30.2
87.2,29.6
87.2,29.7
84.9,29.8
84.8,29.7
84.7,29.3
85.9,27.5
85.1,27.2
85,26.6
84.2,26
83.5,25.8
83.4,25.2
85.6,24.3
84.9,23.3
83.7,22.5
83.1,23.8
80.6,24.3
80.5,24.3
80.2,23.5
80.4,23.2
82.2,21
80.9,19.6
80.9,19.1
82.8,18.7
84.4,17.1
84.1,16.7
84,16.6
83.4,13.6
83.5,13.3
83.8,13.2
84.5,10.3
84.6,9.8
85,9.6
85.3,9.7
85,9.2
85,8.5
84.4,7.5
83.4,7.5
82.9,6.3
83.4,5.9
82.6,4.8
81.9,5.3
82.8,6.3
82.1,6.8
81.5,8.9
79.3,7.2
79.1,7
76.7,8.5
75.6,6.5
75.5,6.4
75.1,5.3
76.9,9.6
75.5,11
75.6,12.3
75.8,12.4
76.1,13
77.5,14
77.4,14.1
76.3,15
77.2,16.8
77.3,16.9
76.3,17.3
76.2,17.3
75.5,18.4
74.3,19.3
75.5,19.8
76.8,21.4
76.6,21.9
76.4,22
75,22.5
76.1,24.8
76.3,24.9
75.9,26.3
76.4,27.2
76.1,27.8
76.4,28.8
77.2,29.5
76.8,31.2
75.6,31
76.9,31.3
75.8,32.8
76.9,34
78,33.8
77.4,36.7
78.1,37.1
79.1,38.2
79,38.2
75.6,39.5
75.5,39.6
76.3,40.9
75.6,42.6
75.6,42.9
75.2,43.2
75,43.6
74.3,44
73.9,45.3
75.2,45.3
75.8,45.5
75.9,47.4
75.9,47.5
76.1,47.9
75.7,49.9
75.3,50.8
76.4,51.4
76.2,53
75.9,53.3
77.5,52.9
77.7,55
79,54.8
79.5,53.9
80.5,53.7
80.9,54.5
82,55.3
83.3,54.8
83.3,54.9
84.1,56.4
83.9,56.8
83.7,57.9
84.6,58.5
85.8,57.9
85.4,56.5
87.9,57.5
88.3,57.8
87.9,55.1
90.4,54.2
90.8,54.4
90.9,54.7
91,55.2
91.6,55.7
91.9,58.3
93.6,57.8
93.5,56.3
93.4,56
94.6,55.4
94.4,53.9
94.6,53.3
97.1,53.8
97.8,55.4
100.6,54
102,55.5
101.6,56.6
101.6,57.6
103,58.7
104.6,57.6
104.6,56.8
107.1,56.6
107.3,56.8
108.9,55.5
109.1,55.5
110.5,54.5
110.3,53.3
113,53.1
113.6,54.8
112.2,55.9
114.6,54.8
114.8,54.3
115.6,53.8
116.1,53.5
117.4,54.3
117.5,54.3
117.5,55.4
117.5,55.5
119.9,54.8
120.6,53.3
119.9,52.8
119.6,52.3
119.5,51.3
120.8,50.5
121.8,50.1
121.6,49.6
120.8,48.4
120.6,48.4
119.9,47.7
